method,run,generation,best
repair_flip,0,0,551.0
repair_flip,0,1,551.0
repair_flip,0,2,619.0
repair_flip,0,3,619.0
repair_flip,0,4,619.0
repair_flip,0,5,619.0
repair_flip,0,6,634.0
repair_flip,0,7,636.0
repair_flip,0,8,636.0
repair_flip,0,9,636.0
repair_flip,0,10,640.0
repair_flip,0,11,640.0
repair_flip,0,12,640.0
repair_flip,0,13,640.0
repair_flip,0,14,640.0
repair_flip,0,15,640.0
repair_flip,0,16,640.0
repair_flip,0,17,640.0
repair_flip,0,18,640.0
repair_flip,0,19,640.0
repair_flip,0,20,640.0
repair_flip,0,21,640.0
repair_flip,0,22,644.0
repair_flip,0,23,644.0
repair_flip,0,24,644.0
repair_flip,0,25,644.0
repair_flip,0,26,644.0
repair_flip,0,27,644.0
repair_flip,0,28,644.0
repair_flip,0,29,644.0
repair_flip,0,30,644.0
repair_flip,0,31,644.0
repair_flip,0,32,644.0
repair_flip,0,33,644.0
repair_flip,0,34,644.0
repair_flip,0,35,644.0
repair_flip,0,36,644.0
repair_flip,0,37,644.0
repair_flip,0,38,644.0
repair_flip,0,39,644.0
repair_flip,0,40,644.0
repair_flip,0,41,644.0
repair_flip,0,42,644.0
repair_flip,0,43,644.0
repair_flip,0,44,644.0
repair_flip,0,45,644.0
repair_flip,0,46,644.0
repair_flip,0,47,644.0
repair_flip,0,48,644.0
repair_flip,0,49,644.0
repair_flip,0,50,644.0
repair_flip,0,51,644.0
repair_flip,0,52,644.0
repair_flip,0,53,644.0
repair_flip,0,54,644.0
repair_flip,0,55,644.0
repair_flip,0,56,644.0
repair_flip,0,57,644.0
repair_flip,0,58,644.0
repair_flip,0,59,644.0
repair_flip,0,60,644.0
repair_flip,0,61,644.0
repair_flip,0,62,644.0
repair_flip,0,63,644.0
repair_flip,1,0,565.0
repair_flip,1,1,570.0
repair_flip,1,2,626.0
repair_flip,1,3,627.0
repair_flip,1,4,648.0
repair_flip,1,5,648.0
repair_flip,1,6,648.0
repair_flip,1,7,648.0
repair_flip,1,8,648.0
repair_flip,1,9,648.0
repair_flip,1,10,648.0
repair_flip,1,11,648.0
repair_flip,1,12,648.0
repair_flip,1,13,648.0
repair_flip,1,14,648.0
repair_flip,1,15,648.0
repair_flip,1,16,648.0
repair_flip,1,17,648.0
repair_flip,1,18,648.0
repair_flip,1,19,648.0
repair_flip,1,20,648.0
repair_flip,1,21,648.0
repair_flip,1,22,648.0
repair_flip,1,23,648.0
repair_flip,1,24,648.0
repair_flip,1,25,648.0
repair_flip,1,26,648.0
repair_flip,1,27,648.0
repair_flip,1,28,648.0
repair_flip,1,29,648.0
repair_flip,1,30,648.0
repair_flip,1,31,648.0
repair_flip,1,32,648.0
repair_flip,1,33,648.0
repair_flip,1,34,648.0
repair_flip,1,35,648.0
repair_flip,1,36,648.0
repair_flip,1,37,648.0
repair_flip,1,38,648.0
repair_flip,1,39,648.0
repair_flip,1,40,648.0
repair_flip,1,41,648.0
repair_flip,1,42,648.0
repair_flip,1,43,648.0
repair_flip,1,44,648.0
repair_flip,1,45,648.0
repair_flip,1,46,648.0
repair_flip,1,47,648.0
repair_flip,1,48,648.0
repair_flip,1,49,648.0
repair_flip,1,50,648.0
repair_flip,1,51,648.0
repair_flip,1,52,648.0
repair_flip,1,53,648.0
repair_flip,1,54,648.0
repair_flip,1,55,648.0
repair_flip,1,56,648.0
repair_flip,1,57,648.0
repair_flip,1,58,648.0
repair_flip,1,59,648.0
repair_flip,1,60,648.0
repair_flip,1,61,648.0
repair_flip,1,62,648.0
repair_flip,1,63,648.0
repair_flip,2,0,513.0
repair_flip,2,1,544.0
repair_flip,2,2,559.0
repair_flip,2,3,559.0
repair_flip,2,4,608.0
repair_flip,2,5,624.0
repair_flip,2,6,624.0
repair_flip,2,7,631.0
repair_flip,2,8,631.0
repair_flip,2,9,631.0
repair_flip,2,10,631.0
repair_flip,2,11,648.0
repair_flip,2,12,648.0
repair_flip,2,13,648.0
repair_flip,2,14,648.0
repair_flip,2,15,648.0
repair_flip,2,16,648.0
repair_flip,2,17,648.0
repair_flip,2,18,648.0
repair_flip,2,19,648.0
repair_flip,2,20,648.0
repair_flip,2,21,648.0
repair_flip,2,22,648.0
repair_flip,2,23,648.0
repair_flip,2,24,648.0
repair_flip,2,25,648.0
repair_flip,2,26,648.0
repair_flip,2,27,648.0
repair_flip,2,28,648.0
repair_flip,2,29,648.0
repair_flip,2,30,648.0
repair_flip,2,31,648.0
repair_flip,2,32,648.0
repair_flip,2,33,648.0
repair_flip,2,34,648.0
repair_flip,2,35,648.0
repair_flip,2,36,648.0
repair_flip,2,37,648.0
repair_flip,2,38,648.0
repair_flip,2,39,648.0
repair_flip,2,40,648.0
repair_flip,2,41,648.0
repair_flip,2,42,648.0
repair_flip,2,43,648.0
repair_flip,2,44,648.0
repair_flip,2,45,648.0
repair_flip,2,46,648.0
repair_flip,2,47,648.0
repair_flip,2,48,648.0
repair_flip,2,49,648.0
repair_flip,2,50,648.0
repair_flip,2,51,648.0
repair_flip,2,52,648.0
repair_flip,2,53,648.0
repair_flip,2,54,648.0
repair_flip,2,55,648.0
repair_flip,2,56,648.0
repair_flip,2,57,648.0
repair_flip,2,58,648.0
repair_flip,2,59,648.0
repair_flip,2,60,648.0
repair_flip,2,61,648.0
repair_flip,2,62,648.0
repair_flip,2,63,648.0
repair_flip,3,0,563.0
repair_flip,3,1,563.0
repair_flip,3,2,620.0
repair_flip,3,3,648.0
repair_flip,3,4,648.0
repair_flip,3,5,648.0
repair_flip,3,6,648.0
repair_flip,3,7,648.0
repair_flip,3,8,648.0
repair_flip,3,9,648.0
repair_flip,3,10,648.0
repair_flip,3,11,648.0
repair_flip,3,12,648.0
repair_flip,3,13,648.0
repair_flip,3,14,648.0
repair_flip,3,15,648.0
repair_flip,3,16,648.0
repair_flip,3,17,648.0
repair_flip,3,18,648.0
repair_flip,3,19,648.0
repair_flip,3,20,648.0
repair_flip,3,21,648.0
repair_flip,3,22,648.0
repair_flip,3,23,648.0
repair_flip,3,24,648.0
repair_flip,3,25,648.0
repair_flip,3,26,648.0
