method,seed,best,feasible_fraction,evaluations,seconds
repair_flip,261400,644,1.0,4096,0.13413462400001208
repair_flip,261401,648,1.0,4096,0.11116065300006994
repair_flip,261402,648,1.0,4096,0.11051600600001166
repair_flip,261403,648,1.0,4096,0.1097194540000146
repair_flip,261404,648,1.0,4096,0.1126340060000075
repair_flip,261405,644,1.0,4096,0.11333566200005407
repair_flip,261406,644,1.0,4096,0.11067084400008298
repair_flip,261407,648,1.0,4096,0.13440559299999677
repair_flip,261408,644,1.0,4096,0.1073730959999466
repair_flip,261409,637,1.0,4096,0.11181639700009782
repair_flip,261410,644,1.0,4096,0.11090873199998441
repair_flip,261411,644,1.0,4096,0.11233787100002246
repair_flip,261412,648,1.0,4096,0.10498974300003283
repair_flip,261413,637,1.0,4096,0.11203466500001014
repair_flip,261414,644,1.0,4096,0.18516992099989693
repair_flip,261415,648,1.0,4096,0.11213833100009651
repair_flip,261416,648,1.0,4096,0.10983302499994352
repair_flip,261417,648,1.0,4096,0.10688565299994934
repair_flip,261418,648,1.0,4096,0.10883497399993303
repair_flip,261419,644,1.0,4096,0.1327911140000424
penalty_flip,261400,581,0.427001953125,4096,0.011210746000074323
penalty_flip,261401,592,0.438232421875,4096,0.011365759999989677
penalty_flip,261402,644,0.42138671875,4096,0.010668390999967414
penalty_flip,261403,644,0.413330078125,4096,0.010686938999924678
penalty_flip,261404,644,0.43017578125,4096,0.011275253000007979
penalty_flip,261405,640,0.43310546875,4096,0.011092398999949182
penalty_flip,261406,648,0.4306640625,4096,0.011227981999923031
penalty_flip,261407,638,0.425048828125,4096,0.010329871999942952
penalty_flip,261408,640,0.404296875,4096,0.011042473999964386
penalty_flip,261409,640,0.4365234375,4096,0.011585570000079315
penalty_flip,261410,644,0.438720703125,4096,0.011119217999976172
penalty_flip,261411,644,0.41943359375,4096,0.010484283999971922
penalty_flip,261412,623,0.428955078125,4096,0.012746715999924163
penalty_flip,261413,638,0.406005859375,4096,0.010861881999971956
penalty_flip,261414,563,0.440673828125,4096,0.010957375000089087
penalty_flip,261415,644,0.43310546875,4096,0.010315510000054928
penalty_flip,261416,644,0.405517578125,4096,0.010574099999985265
penalty_flip,261417,634,0.429443359375,4096,0.010533779000070354
penalty_flip,261418,595,0.41845703125,4096,0.011246389999996609
penalty_flip,261419,644,0.409912109375,4096,0.011649605999991763
repair_swap,261400,644,1.0,4096,0.14680993799993303
repair_swap,261401,644,1.0,4096,0.136100985999974
repair_swap,261402,644,1.0,4096,0.12563019699996403
repair_swap,261403,648,1.0,4096,0.12514724100003605
repair_swap,261404,648,1.0,4096,0.1222423639999306
repair_swap,261405,644,1.0,4096,0.12672525400000723
repair_swap,261406,644,1.0,4096,0.12870606199999202
repair_swap,261407,648,1.0,4096,0.13473568799997793
repair_swap,261408,644,1.0,4096,0.12859061799997562
repair_swap,261409,644,1.0,4096,0.12259472300002017
repair_swap,261410,644,1.0,4096,0.12021432400001686
repair_swap,261411,648,1.0,4096,0.12651763199994548
repair_swap,261412,648,1.0,4096,0.12353089100008674
repair_swap,261413,644,1.0,4096,0.1265532360000634
repair_swap,261414,644,1.0,4096,0.1298468770000909
repair_swap,261415,648,1.0,4096,0.1316133530000343
repair_swap,261416,648,1.0,4096,0.1310378780000292
repair_swap,261417,637,1.0,4096,0.1251567360000081
repair_swap,261418,648,1.0,4096,0.15412477299992133
repair_swap,261419,648,1.0,4096,0.1360301749999735
random_repair,261400,644,1.0,4096,0.14243033699995067
random_repair,261401,648,1.0,4096,0.1393913199999588
random_repair,261402,648,1.0,4096,0.1403586940000423
random_repair,261403,648,1.0,4096,0.13338816099997075
random_repair,261404,648,1.0,4096,0.1437598300000218
random_repair,261405,648,1.0,4096,0.1346106599999075
random_repair,261406,648,1.0,4096,0.19241895499999373
random_repair,261407,640,1.0,4096,0.1762878729999784
random_repair,261408,640,1.0,4096,0.18133494400001382
random_repair,261409,648,1.0,4096,0.18290210199995727
random_repair,261410,648,1.0,4096,0.1441620900000089
random_repair,261411,648,1.0,4096,0.1907019529999161
random_repair,261412,648,1.0,4096,0.18940179699995952
random_repair,261413,640,1.0,4096,0.129136496000001
random_repair,261414,648,1.0,4096,0.12765896400003385
random_repair,261415,648,1.0,4096,0.12614782099990407
random_repair,261416,648,1.0,4096,0.1277966860000106
random_repair,261417,648,1.0,4096,0.12839036400009718
random_repair,261418,648,1.0,4096,0.13237533700009863
random_repair,261419,644,1.0,4096,0.17040294799994626
