method,metric,n,minimum,mean,median,std,maximum
repair_flip,best,20,637.0,645.3,646.0,3.4351128074635335,648.0
repair_flip,feasible_fraction,20,1.0,1.0,1.0,0.0,1.0
repair_flip,seconds,20,0.10498974300003283,0.11758451820001029,0.11148852500008388,0.01817917264100438,0.18516992099989693
repair_flip,evaluations,20,4096.0,4096.0,4096.0,0.0,4096.0
penalty_flip,best,20,563.0,629.2,640.0,25.059088066744213,648.0
penalty_flip,feasible_fraction,20,0.404296875,0.42449951171875,0.427978515625,0.0116666673777396,0.440673828125
penalty_flip,seconds,20,0.010315510000054928,0.011048712299992759,0.011067436499956784,0.0005605831152187576,0.012746715999924163
penalty_flip,evaluations,20,4096.0,4096.0,4096.0,0.0,4096.0
repair_swap,best,20,637.0,645.45,644.0,2.818640956579121,648.0
repair_swap,feasible_fraction,20,1.0,1.0,1.0,0.0,1.0
repair_swap,seconds,20,0.12021432400001686,0.13009544729999903,0.12765793599999142,0.008338979486266626,0.15412477299992133
repair_swap,evaluations,20,4096.0,4096.0,4096.0,0.0,4096.0
random_repair,best,20,640.0,646.4,648.0,3.0157481397002073,648.0
random_repair,feasible_fraction,20,1.0,1.0,1.0,0.0,1.0
random_repair,seconds,20,0.12614782099990407,0.15165286659998856,0.1413945154999965,0.024866135837130723,0.19241895499999373
random_repair,evaluations,20,4096.0,4096.0,4096.0,0.0,4096.0
